Media path: 'srt://:1234?latency=170' --> 'udp://224.0.0.1:2255'
Accepted SRT source connection
Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
302889,409183999,8192,8192,0,85.288,3954.55,1000,0,0,0,0,0,0,0,12,5184,0,0,0,0,7048172,0,0,32.287,170,0,0,0,0
305200,409183999,8192,8192,0,85.526,4222.22,1000,0,0,0,0,0,0,0,12,4632,0,0,0,0,6298204,0,0,21.8024,170,0,0,0,0
307004,409183999,8192,8192,0,83.695,2626.42,1000,0,0,0,0,0,0,0,12,5501,125,0,247,125,7478916,157625,0,33.1659,170,0,0,0,0
309707,409183999,8192,8192,0,92.377,4329.12,1000,0,0,0,0,0,0,0,12,4536,0,0,0,0,6167832,0,0,18.2551,170,0,0,0,0
312204,409183999,8192,8192,0,81.753,4452.84,1000,0,0,0,0,0,0,0,12,5256,0,0,0,0,7144400,0,0,22.8869,170,0,0,0,0
314293,409183999,8192,8192,0,79.8,4260.36,1000,0,0,0,0,0,0,0,12,5352,3,0,3,0,7276652,3783,0,27.8672,170,0,0,0,0
316240,409183999,8192,8192,0,82.105,4764.71,1000,0,0,0,0,0,0,0,12,4656,0,0,0,0,6331596,0,0,26.0222,170,0,0,0,0
318175,409183999,8192,8192,0,83.762,5021.28,1000,0,0,0,0,0,0,0,12,4872,0,0,0,0,6622912,0,0,27.38,170,0,0,0,0
320610,409183999,8192,8192,0,80.521,4046.52,1000,0,0,0,0,0,0,0,12,5326,0,0,0,0,7243360,0,0,23.7988,170,0,0,0,0
322631,409183999,8192,8192,0,80.436,4461.54,1000,0,0,0,0,0,0,0,12,4994,0,0,0,0,6791840,0,0,26.886,170,0,0,0,0
324495,409183999,8192,8192,0,83.263,3636.37,1000,0,0,0,0,0,0,0,12,4940,44,0,88,44,6717084,55484,0,28.8294,170,0,0,0,0
326043,409183999,8192,8192,0,84.944,3411.77,1000,0,0,0,0,0,0,0,12,4896,0,0,0,0,6655552,0,0,34.3911,170,0,0,0,0
331647,409183999,8192,8192,0,82.791,4097.57,1000,0,0,0,0,0,0,0,12,5256,0,0,0,0,7147596,0,0,10.2034,170,0,0,0,0
333190,409183999,8192,8192,0,81.388,5000,1000,0,0,0,0,0,0,0,12,4704,0,0,0,0,6392552,0,0,33.1495,170,0,0,0,0
335362,409183999,8192,8192,0,80.343,3639.82,1000,0,0,0,0,0,0,0,12,5213,29,0,58,29,7089492,36569,0,26.1155,170,0,0,0,0
336885,409183999,8192,8192,0,81.847,3866.68,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6722712,0,0,35.3015,170,0,0,0,0
339312,409183999,8192,8192,0,87.769,5169.24,1000,0,0,0,0,0,0,0,12,4776,0,0,0,0,6493668,0,0,21.4046,170,0,0,0,0
341259,409183999,8192,8192,0,82.509,3260.88,1000,0,0,0,0,0,0,0,12,5064,0,0,0,0,6885536,0,0,28.2939,170,0,0,0,0
